LinkID,PositionX (m),PositionY (m),PositionZ (m)
AUTO_000193,-458.380,1305.526,-0.048
AUTO_000194,-458.486,1307.460,0.588
AUTO_000195,-457.607,1309.550,-0.156
AUTO_000196,-458.390,1312.708,0.281
AUTO_000197,-458.077,1314.399,-0.097
AUTO_000198,-457.840,1316.680,0.134
AUTO_000199,-458.102,1318.867,-0.134
AUTO_000200,-458.377,1321.733,0.868
AUTO_000201,-458.294,1323.395,0.589
AUTO_000202,-457.912,1325.654,0.568
AUTO_000203,-457.960,1328.165,-0.130
AUTO_000204,-457.952,1329.259,0.427
AUTO_000205,-458.302,1333.025,-0.299
AUTO_000206,-458.262,1334.252,0.268
AUTO_000207,-457.683,1336.642,0.216
AUTO_000208,-457.819,1339.377,0.111
AUTO_000209,-457.835,1340.959,0.082
AUTO_000210,-457.949,1344.393,-0.158
AUTO_000211,-458.441,1345.298,0.663
AUTO_000212,-457.777,1348.447,0.330
AUTO_000213,-457.968,1349.896,0.650
AUTO_000214,-458.393,1353.408,0.061
AUTO_000215,-458.233,1355.299,-0.154
AUTO_000216,-458.305,1358.113,-0.198
AUTO_000217,-458.062,1360.916,-0.048
AUTO_000218,-458.392,1363.113,-0.015
AUTO_000219,-458.182,1365.272,0.889
AUTO_000220,-458.400,1367.546,0.271
AUTO_000221,-458.760,1369.510,0.154
AUTO_000222,-458.976,1372.448,0.514
AUTO_000223,-458.499,1374.414,0.402
AUTO_000224,-457.870,1376.370,0.054
AUTO_000225,-458.498,1378.900,0.098
AUTO_000226,-458.643,1381.656,0.189
AUTO_000227,-458.361,1384.291,0.552
AUTO_000228,-458.734,1386.387,-0.259
AUTO_000229,-458.280,1387.341,-0.345
AUTO_000230,-458.588,1391.439,-0.060
AUTO_000231,-458.210,1393.065,-0.065
AUTO_000232,-458.611,1395.064,0.570
AUTO_000233,-458.671,1398.486,0.425
AUTO_000234,-458.696,1399.958,-0.165
AUTO_000235,-459.064,1402.642,0.142
AUTO_000236,-458.547,1403.284,0.710
AUTO_000237,-458.950,1407.087,0.551
AUTO_000238,-458.056,1409.253,0.621
AUTO_000239,-458.941,1412.146,0.038
AUTO_000240,-458.123,1414.071,0.251
AUTO_000241,-458.986,1416.399,0.356
AUTO_000242,-458.701,1418.367,0.145
AUTO_000243,-459.134,1420.858,0.479
AUTO_000244,-458.704,1423.536,-0.169
AUTO_000245,-459.078,1425.962,0.162
AUTO_000246,-459.074,1428.158,0.510
AUTO_000247,-459.051,1430.644,0.554
AUTO_000248,-459.263,1432.800,0.150
AUTO_000249,-459.300,1435.551,0.230
AUTO_000250,-459.197,1438.152,0.408
AUTO_000251,-459.300,1439.923,0.454
AUTO_000252,-458.820,1442.991,0.436
AUTO_000253,-458.855,1445.698,0.085
AUTO_000254,-458.697,1447.746,-0.105
AUTO_000255,-459.406,1450.063,0.138
AUTO_000256,-459.164,1452.715,0.200
AUTO_000257,-459.081,1455.261,0.207
AUTO_000258,-458.611,1456.381,0.540
AUTO_000259,-459.132,1459.568,0.456
AUTO_000260,-458.935,1462.517,0.255
AUTO_000261,-458.548,1464.731,0.516
AUTO_000262,-459.180,1467.104,0.728
AUTO_000263,-459.252,1469.833,-0.047
AUTO_000264,-458.863,1471.850,0.226
AUTO_000265,-458.884,1475.339,-0.282
AUTO_000266,-458.722,1477.680,0.215
AUTO_000267,-459.024,1480.825,0.365
AUTO_000268,-458.646,1482.619,0.093
AUTO_000269,-458.803,1484.830,0.496
AUTO_000270,-458.714,1487.653,0.289
AUTO_000271,-458.990,1489.670,0.167
AUTO_000272,-459.027,1492.653,0.238
AUTO_000273,-459.420,1494.855,0.409
AUTO_000274,-458.952,1497.711,0.501
AUTO_000275,-459.113,1500.266,0.496
AUTO_000276,-458.619,1503.097,0.549
AUTO_000277,-459.040,1504.966,0.134
AUTO_000278,-458.974,1507.803,0.775
AUTO_000279,-459.154,1511.048,0.368
AUTO_000280,-459.156,1512.925,0.858
AUTO_000281,-458.918,1515.865,0.543
AUTO_000282,-459.291,1518.427,0.466
AUTO_000283,-459.355,1520.515,0.215
AUTO_000284,-458.526,1523.174,0.308
AUTO_000285,-459.218,1526.276,0.273
AUTO_000286,-459.198,1528.002,0.465
AUTO_000287,-459.220,1530.485,0.642
AUTO_000288,-458.675,1533.336,0.962
AUTO_000289,-459.161,1535.481,0.784
AUTO_000290,-458.871,1538.696,0.194
AUTO_000291,-458.751,1540.933,0.258
AUTO_000292,-459.139,1543.932,-0.066
AUTO_000293,-459.098,1545.756,0.591
AUTO_000294,-459.157,1548.929,0.413
AUTO_000295,-458.519,1551.707,0.773
AUTO_000296,-459.331,1554.299,0.007
AUTO_000297,-459.294,1556.844,0.062
AUTO_000298,-458.524,1558.879,0.385
AUTO_000299,-458.941,1561.801,0.637
AUTO_000300,-459.396,1564.260,0.603
AUTO_000301,-459.329,1566.962,0.337
AUTO_000302,-459.389,1569.208,0.196
AUTO_000303,-459.244,1571.801,0.312
AUTO_000304,-459.385,1574.331,0.141
AUTO_000305,-459.239,1577.137,0.185
AUTO_000306,-459.498,1579.987,0.329
AUTO_000307,-459.734,1582.168,0.145
AUTO_000308,-459.751,1585.409,-0.084
AUTO_000309,-459.823,1586.913,0.828
AUTO_000310,-458.751,1589.702,0.445
AUTO_000311,-459.847,1592.155,0.139
AUTO_000312,-459.769,1594.960,-0.084
AUTO_000313,-459.537,1597.412,0.857
AUTO_000314,-459.340,1599.491,0.659
AUTO_000315,-459.653,1602.778,0.318
AUTO_000316,-459.573,1604.573,-0.140
AUTO_000317,-459.621,1607.371,-0.075
AUTO_000318,-459.732,1609.947,-0.052
AUTO_000319,-459.568,1612.261,0.102
AUTO_000320,-458.985,1614.041,-0.186
AUTO_000321,-459.192,1616.840,0.346
AUTO_000322,-459.081,1620.885,0.547
AUTO_000323,-458.776,1622.126,0.018
AUTO_000324,-458.989,1624.730,0.267
AUTO_000325,-459.084,1627.067,0.421
AUTO_000326,-459.269,1629.720,0.365
AUTO_000327,-459.304,1632.585,0.049
AUTO_000328,-459.777,1634.555,0.255
AUTO_000329,-458.924,1637.188,0.547
AUTO_000330,-459.396,1640.364,-0.080
AUTO_000331,-459.152,1641.974,0.454
AUTO_000332,-458.981,1644.536,0.126
AUTO_000333,-459.192,1648.016,-0.027
AUTO_000334,-458.955,1649.696,0.450
AUTO_000335,-459.174,1652.098,0.970
AUTO_000336,-459.413,1655.620,-0.452
AUTO_000337,-458.970,1657.857,-0.314
AUTO_000338,-458.645,1660.856,0.837
AUTO_000339,-459.159,1662.897,0.472
AUTO_000340,-458.489,1665.733,0.516
AUTO_000341,-458.835,1668.249,0.657
AUTO_000342,-458.143,1671.031,0.018
AUTO_000343,-458.554,1673.275,0.176
AUTO_000344,-459.204,1676.059,0.590
AUTO_000345,-458.632,1677.276,0.383
AUTO_000346,-458.700,1680.917,0.059
AUTO_000347,-458.520,1683.371,0.119
AUTO_000348,-458.224,1685.748,0.629
AUTO_000349,-458.231,1689.294,0.410
AUTO_000350,-458.281,1690.991,0.521
AUTO_000351,-458.819,1693.966,0.364
AUTO_000352,-458.838,1696.131,0.681
AUTO_000353,-458.574,1698.734,0.305
AUTO_000354,-458.814,1701.499,0.627
AUTO_000355,-458.350,1704.664,0.637
AUTO_000356,-458.296,1706.997,0.448
AUTO_000357,-458.024,1708.073,0.000
AUTO_000358,-458.217,1712.533,0.666
AUTO_000359,-457.960,1714.065,0.690
AUTO_000360,-457.820,1716.519,0.965
AUTO_000361,-457.573,1719.528,0.762
AUTO_000362,-457.163,1722.376,0.685
AUTO_000363,-458.074,1724.087,0.548
AUTO_000364,-457.088,1727.361,0.401
AUTO_000365,-457.108,1728.240,0.501
AUTO_000366,-457.039,1732.380,0.458
AUTO_000367,-457.265,1733.367,0.648
AUTO_000368,-456.733,1737.462,0.564
AUTO_000369,-456.639,1740.693,0.636
AUTO_000370,-456.698,1742.806,0.399
AUTO_000371,-456.654,1744.455,0.439
AUTO_000372,-456.002,1748.264,-0.030
AUTO_000373,-456.103,1749.388,0.277
AUTO_000374,-455.863,1752.537,0.664
AUTO_000375,-456.246,1753.910,-0.236
AUTO_000376,-456.243,1757.372,0.581
AUTO_000377,-455.697,1759.086,0.613
AUTO_000378,-455.052,1762.852,0.829
AUTO_000379,-455.107,1764.416,0.386
AUTO_000380,-454.498,1767.452,1.223
AUTO_000381,-454.792,1769.615,0.873
AUTO_000382,-454.125,1772.820,0.934
AUTO_000383,-453.635,1775.301,0.257
AUTO_000384,-453.578,1778.874,0.240
AUTO_000385,-453.703,1783.510,0.371
AUTO_000386,-453.054,1784.740,0.690
AUTO_000387,-452.784,1788.261,1.267
AUTO_000388,-452.625,1789.398,0.657
AUTO_000389,-452.210,1793.922,0.712
AUTO_000390,-451.595,1796.017,0.492
AUTO_000391,-451.248,1797.946,0.808
AUTO_000392,-451.239,1800.279,0.335
AUTO_000393,-450.852,1803.499,0.790
AUTO_000394,-450.458,1806.116,0.791
AUTO_000395,-449.846,1807.916,0.916
AUTO_000396,-449.554,1811.056,0.823
AUTO_000397,-449.166,1813.707,0.519
AUTO_000398,-448.230,1815.613,0.637
AUTO_000399,-448.449,1818.131,0.264
AUTO_000400,-447.993,1820.161,0.646
AUTO_000401,-447.565,1823.002,1.087
AUTO_000402,-447.124,1825.406,1.012
AUTO_000403,-446.365,1828.630,0.379
AUTO_000404,-444.935,1833.169,1.219
AUTO_000405,-445.012,1834.027,0.597
AUTO_000406,-444.190,1838.017,0.545
AUTO_000407,-443.740,1840.284,1.229
AUTO_000408,-443.048,1842.553,1.092
AUTO_000409,-442.159,1844.851,1.469
AUTO_000410,-442.655,1847.266,1.351
AUTO_000411,-441.862,1849.573,0.383
AUTO_000412,-440.423,1852.492,0.492
AUTO_000413,-440.982,1853.466,0.654
AUTO_000414,-439.913,1857.130,0.958
AUTO_000415,-439.341,1858.778,1.006
AUTO_000416,-438.715,1861.975,1.168
AUTO_000417,-437.550,1863.093,0.948
AUTO_000418,-436.550,1865.902,0.377
AUTO_000419,-436.211,1868.787,0.716
AUTO_000420,-435.850,1870.249,0.943
AUTO_000421,-434.927,1872.565,1.541
AUTO_000422,-434.033,1874.599,0.206
AUTO_000423,-433.520,1877.305,0.877
AUTO_000424,-432.580,1879.588,1.285
AUTO_000425,-432.095,1881.935,1.494
AUTO_000426,-431.336,1883.844,0.555
AUTO_000427,-430.220,1886.892,0.744
AUTO_000428,-429.906,1889.157,1.064
AUTO_000429,-428.325,1891.294,1.067
AUTO_000430,-427.316,1894.083,0.786
AUTO_000431,-426.832,1896.613,1.493
AUTO_000432,-425.988,1898.273,1.155
AUTO_000433,-425.186,1900.486,1.215
AUTO_000434,-424.565,1902.853,1.218
AUTO_000435,-423.684,1904.873,1.069
AUTO_000436,-421.943,1908.108,1.219
AUTO_000437,-421.389,1910.553,0.548
AUTO_000438,-420.440,1912.454,1.102
AUTO_000439,-419.285,1915.259,1.272
AUTO_000440,-418.593,1916.832,0.715
AUTO_000441,-416.997,1919.576,1.062
AUTO_000442,-415.847,1921.687,1.017
AUTO_000443,-415.799,1923.911,1.285
AUTO_000444,-414.499,1926.145,0.671
AUTO_000445,-412.588,1928.684,0.995
AUTO_000446,-410.977,1930.731,1.163
AUTO_000447,-410.267,1932.750,1.817
AUTO_000448,-409.296,1935.231,0.883
AUTO_000449,-408.104,1937.698,1.115
AUTO_000450,-406.835,1938.492,1.086
AUTO_000451,-405.171,1942.279,0.393
AUTO_000452,-403.545,1944.395,0.977
AUTO_000453,-403.088,1946.108,1.148
AUTO_000454,-401.390,1948.792,0.929
AUTO_000455,-399.852,1950.755,0.878
AUTO_000456,-399.436,1952.134,1.071
AUTO_000457,-396.861,1955.550,0.558
AUTO_000458,-396.148,1957.734,1.622
AUTO_000459,-393.862,1960.160,1.315
AUTO_000460,-393.130,1961.839,0.906
AUTO_000461,-391.263,1964.311,1.004
AUTO_000462,-390.384,1966.405,1.267
AUTO_000463,-388.078,1969.327,1.081
AUTO_000464,-385.813,1972.632,1.231
AUTO_000465,-382.464,1977.025,0.579
AUTO_000466,-380.989,1979.084,1.009
AUTO_000467,-379.620,1980.564,0.882
AUTO_000468,-378.431,1982.774,0.788
AUTO_000469,-377.025,1984.769,1.697
AUTO_000470,-374.272,1987.019,0.749
AUTO_000471,-373.722,1988.096,0.855
AUTO_000472,-371.931,1989.828,0.638
AUTO_000473,-369.226,1993.143,0.687
AUTO_000474,-368.290,1994.276,0.574
AUTO_000475,-366.351,1996.836,0.920
AUTO_000476,-364.865,1998.425,0.804
AUTO_000477,-363.024,2001.031,1.086
AUTO_000478,-361.226,2001.251,0.894
AUTO_000479,-359.265,2004.503,1.234
AUTO_000480,-358.108,2005.660,0.685
AUTO_000481,-356.553,2009.098,0.890
AUTO_000482,-352.905,2012.182,1.000
AUTO_000483,-352.302,2013.393,0.810
AUTO_000484,-349.394,2015.474,1.151
AUTO_000485,-347.515,2017.126,0.745
AUTO_000486,-345.527,2019.221,0.850
AUTO_000487,-344.387,2020.558,0.821
AUTO_000488,-342.048,2023.417,0.461
AUTO_000489,-340.529,2024.796,0.896
AUTO_000490,-338.937,2026.336,0.973
AUTO_000491,-336.537,2028.691,1.520
AUTO_000492,-335.028,2029.369,0.891
AUTO_000493,-332.765,2032.086,1.123
AUTO_000494,-331.350,2033.441,0.991
AUTO_000495,-329.032,2035.080,1.335
AUTO_000496,-326.894,2037.078,1.519
AUTO_000497,-324.694,2038.389,0.518
AUTO_000498,-322.736,2039.850,0.660
AUTO_000499,-321.173,2041.502,0.945
AUTO_000500,-318.352,2043.313,1.138
AUTO_000501,-317.415,2044.549,0.313
AUTO_000502,-315.168,2046.267,1.014
AUTO_000503,-313.262,2047.929,0.548
AUTO_000504,-310.265,2050.295,1.018
AUTO_000505,-309.009,2050.827,0.634
AUTO_000506,-306.599,2052.076,1.069
AUTO_000507,-306.119,2053.010,1.124
AUTO_000508,-301.115,2056.266,0.824
AUTO_000509,-299.040,2058.271,1.618
AUTO_000510,-297.013,2059.672,0.832
AUTO_000511,-294.800,2060.257,0.752
AUTO_000512,-292.816,2062.863,0.387
AUTO_000513,-291.286,2063.636,0.846
AUTO_000514,-290.104,2064.833,0.985
AUTO_000515,-286.531,2066.923,1.014
AUTO_000516,-284.981,2067.521,1.455
AUTO_000517,-282.851,2069.632,0.778
AUTO_000518,-280.697,2071.180,0.524
AUTO_000519,-277.950,2072.395,0.928
AUTO_000520,-275.931,2073.807,1.130
AUTO_000521,-274.051,2075.226,1.148
AUTO_000522,-271.286,2075.857,1.135
AUTO_000523,-266.842,2078.873,1.412
AUTO_000524,-264.278,2079.195,0.874
AUTO_000525,-262.176,2080.677,1.161
AUTO_000526,-257.322,2082.920,0.616
AUTO_000527,-256.373,2083.514,1.535
AUTO_000528,-252.977,2085.213,0.945
AUTO_000529,-251.009,2086.105,1.302
AUTO_000530,-248.448,2087.884,0.621
AUTO_000531,-247.457,2087.270,0.750
AUTO_000532,-243.707,2090.349,1.527
AUTO_000533,-241.897,2090.722,0.914
AUTO_000534,-240.426,2091.491,1.111
AUTO_000535,-238.028,2092.785,1.197
AUTO_000536,-234.100,2094.214,1.126
AUTO_000537,-232.757,2094.674,0.510
AUTO_000538,-230.386,2095.539,0.686
AUTO_000539,-227.923,2097.076,0.815
AUTO_000540,-225.581,2097.718,1.089
AUTO_000541,-223.358,2098.430,0.464
AUTO_000542,-220.766,2099.372,0.455
AUTO_000543,-219.141,2100.344,0.745
AUTO_000544,-215.757,2100.736,1.231
AUTO_000545,-212.560,2101.686,0.871
AUTO_000546,-210.888,2101.677,1.064
AUTO_000547,-208.724,2103.135,0.216
AUTO_000548,-206.099,2104.168,0.210
AUTO_000549,-203.816,2105.000,0.713
AUTO_000550,-201.849,2105.947,1.209
AUTO_000551,-198.960,2106.307,0.584
AUTO_000552,-196.561,2107.404,0.311
AUTO_000553,-194.188,2107.969,0.557
AUTO_000554,-191.400,2109.081,1.287
AUTO_000555,-188.423,2109.666,1.186
AUTO_000556,-185.759,2110.463,1.104
AUTO_000557,-183.728,2111.000,1.285
AUTO_000558,-181.137,2111.798,1.127
AUTO_000559,-178.821,2112.577,1.070
AUTO_000560,-177.395,2112.673,0.787
AUTO_000561,-174.226,2113.959,0.945
AUTO_000562,-171.434,2113.797,1.120
AUTO_000563,-168.687,2114.587,0.864
AUTO_000564,-165.964,2115.540,0.906
AUTO_000565,-163.447,2115.600,0.798
AUTO_000566,-161.073,2116.319,1.043
AUTO_000567,-158.298,2116.370,1.306
AUTO_000568,-155.676,2116.510,1.281
AUTO_000569,-152.988,2117.160,0.651
AUTO_000570,-151.249,2117.583,0.976
AUTO_000571,-148.856,2117.698,0.806
AUTO_000572,-146.118,2118.812,0.933
AUTO_000573,-142.617,2118.127,0.714
AUTO_000574,-140.532,2119.014,0.791
AUTO_000575,-138.002,2119.276,0.772
AUTO_000576,-135.676,2119.540,0.750
AUTO_000577,-132.840,2120.028,0.652
AUTO_000578,-130.616,2120.098,1.219
AUTO_000579,-127.512,2120.978,1.013
AUTO_000580,-124.757,2120.981,1.018
AUTO_000581,-121.787,2121.152,0.716
AUTO_000582,-119.631,2121.513,1.101
AUTO_000583,-117.602,2121.382,1.408
AUTO_000584,-114.823,2121.624,1.310
AUTO_000585,-113.204,2121.926,1.080
AUTO_000586,-111.405,2121.921,1.152
